Name,Synonyms,Growth Conditions
Acidovorax facilis DSM 41,"DSM 41, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-41","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 41', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}]"
Paracoccus pantotrophus DSM 65,"ATCC 17741, CIP 105417,, DSM 65, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-65, , ICPB 3979, NCIB 11627, Stanier 381","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 65', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': '81: MINERAL MEDIUM FOR CHEMOLITHOTROPHIC GROWTH (H-3)', 'media_link': '/medium/81?ccno=DSM 65', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}]"
Acidovorax delafieldii DSM 64,"ATCC 17505, CCUG 1779,, DSM 50263, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-50263, ,, DSM 50403, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-50403, ,, DSM 64, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-64, , LMG 5943","[{'media_title': '1a: REACTIVATION WITH LIQUID MEDIUM 1', 'media_link': '/medium/1a?ccno=DSM 64', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': '830: R2A MEDIUM', 'media_link': '/medium/830?ccno=DSM 64', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}]"
Nannocystis exedens DSM 71,"ATCC 25963,, DSM 71, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-71, , NBRC 100083","[{'media_title': '9: VY/2 AGAR', 'media_link': '/medium/9?ccno=DSM 71', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}]"
Metabacillus fastidiosus DSM 73,"DSM 73, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-73","[{'media_title': '6: ALLANTOIN MINERAL MEDIUM', 'media_link': '/medium/6?ccno=DSM 73', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}]"
Aquaspirillum serpens DSM 68,"ATCC 12638, CCUG 2092, CIP 63.19,, DSM 68, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-68, , IAM 13944, IFO 14924,, JCM 20995, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=68, , LMG 3734, NBRC 14924, NCIMB 8658, NCTC 10593, NRRL B-2045","[{'media_title': '7: ANCYLOBACTER - SPIROSOMA MEDIUM', 'media_link': '/medium/7?ccno=DSM 68', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': '37: SPIRILLUM MEDIUM', 'media_link': '/medium/37?ccno=DSM 68', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': 'J22: NUTRIENT AGAR NO. 2', 'media_link': '/medium/J22?ccno=DSM 68', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Spirosoma linguale DSM 74,"ATCC 33905,, DSM 74, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-74, , LMG 10896","[{'media_title': '7: ANCYLOBACTER - SPIROSOMA MEDIUM', 'media_link': '/medium/7?ccno=DSM 74', 'growth_observed': 'Yes', 'growth_conditions': '26\xa0°C'}]"
Metabacillus fastidiosus DSM 72,"DSM 72, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-72","[{'media_title': '6: ALLANTOIN MINERAL MEDIUM', 'media_link': '/medium/6?ccno=DSM 72', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}]"
Metabacillus fastidiosus DSM 76,"DSM 76, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-76","[{'media_title': '6: ALLANTOIN MINERAL MEDIUM', 'media_link': '/medium/6?ccno=DSM 76', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}]"
Spirosoma linguale DSM 75,"DSM 75, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-75","[{'media_title': '7: ANCYLOBACTER - SPIROSOMA MEDIUM', 'media_link': '/medium/7?ccno=DSM 75', 'growth_observed': 'Yes', 'growth_conditions': '26\xa0°C'}]"
Metabacillus fastidiosus DSM 77,"DSM 77, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-77","[{'media_title': '6: ALLANTOIN MINERAL MEDIUM', 'media_link': '/medium/6?ccno=DSM 77', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}]"
Metabacillus fastidiosus DSM 78,"DSM 78, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-78","[{'media_title': '6: ALLANTOIN MINERAL MEDIUM', 'media_link': '/medium/6?ccno=DSM 78', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}]"
Metabacillus fastidiosus DSM 82,"DSM 82, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-82","[{'media_title': '6: ALLANTOIN MINERAL MEDIUM', 'media_link': '/medium/6?ccno=DSM 82', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}]"
Pseudomonas putida DSM 84,"DSM 84, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-84, , IMG 1513","[{'media_title': '1a: REACTIVATION WITH LIQUID MEDIUM 1', 'media_link': '/medium/1a?ccno=DSM 84', 'growth_observed': 'Yes', 'growth_conditions': '26\xa0°C'}]"
Azotobacter vinelandii DSM 86,"DSM 86, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-86","[{'media_title': '3: AZOTOBACTER MEDIUM', 'media_link': '/medium/3?ccno=DSM 86', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': '441: DIAZOTROPHIC MEDIUM (RBA)', 'media_link': '/medium/441?ccno=DSM 86', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}]"
Metabacillus fastidiosus DSM 83,"DSM 83, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-83","[{'media_title': '6: ALLANTOIN MINERAL MEDIUM', 'media_link': '/medium/6?ccno=DSM 83', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}]"
Azotobacter vinelandii DSM 85,"DSM 85, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-85, , IMG 1484","[{'media_title': '3: AZOTOBACTER MEDIUM', 'media_link': '/medium/3?ccno=DSM 85', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': '441: DIAZOTROPHIC MEDIUM (RBA)', 'media_link': '/medium/441?ccno=DSM 85', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}]"
Azorhizophilus paspali DSM 88,"ATCC 23368,, DSM 88, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-88","[{'media_title': '3: AZOTOBACTER MEDIUM', 'media_link': '/medium/3?ccno=DSM 88', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': '441: DIAZOTROPHIC MEDIUM (RBA)', 'media_link': '/medium/441?ccno=DSM 88', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}]"
Azomonas agilis DSM 89,"ATCC 12838,, DSM 89, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-89","[{'media_title': '3: AZOTOBACTER MEDIUM', 'media_link': '/medium/3?ccno=DSM 89', 'growth_observed': 'Yes', 'growth_conditions': '26\xa0°C'}, {'media_title': '441: DIAZOTROPHIC MEDIUM (RBA)', 'media_link': '/medium/441?ccno=DSM 89', 'growth_observed': 'Yes', 'growth_conditions': '26\xa0°C'}]"
Priestia megaterium DSM 90,"DSM 90, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-90","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 90', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}]"
Metabacillus fastidiosus DSM 91,"ATCC 29604,, DSM 91, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-91, , NCIB 11326","[{'media_title': '6: ALLANTOIN MINERAL MEDIUM', 'media_link': '/medium/6?ccno=DSM 91', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}]"
Clostridium formicaceticum DSM 92,"ATCC 27076,, DSM 92, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-92","[{'media_title': '14: CLOSTRIDIUM FORMICACETICUM MEDIUM', 'media_link': '/medium/14?ccno=DSM 92', 'growth_observed': 'Yes', 'growth_conditions': '37\xa0°C'}]"
Azotobacter vinelandii DSM 87,"ATCC 12837,, DSM 87, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-87, , NCIB 8789","[{'media_title': '3: AZOTOBACTER MEDIUM', 'media_link': '/medium/3?ccno=DSM 87', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': '441: DIAZOTROPHIC MEDIUM (RBA)', 'media_link': '/medium/441?ccno=DSM 87', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}]"
Clostridium formicaceticum DSM 96,"DSM 96, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-96","[{'media_title': '14: CLOSTRIDIUM FORMICACETICUM MEDIUM', 'media_link': '/medium/14?ccno=DSM 96', 'growth_observed': 'Yes', 'growth_conditions': '37\xa0°C'}]"
Clostridium formicaceticum DSM 94,"ATCC 27077,, DSM 94, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-94","[{'media_title': '14: CLOSTRIDIUM FORMICACETICUM MEDIUM', 'media_link': '/medium/14?ccno=DSM 94', 'growth_observed': 'Yes', 'growth_conditions': '37\xa0°C'}]"
Clostridium formicaceticum DSM 95,"DSM 95, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-95","[{'media_title': '14: CLOSTRIDIUM FORMICACETICUM MEDIUM', 'media_link': '/medium/14?ccno=DSM 95', 'growth_observed': 'Yes', 'growth_conditions': '37\xa0°C'}]"
Clostridium formicaceticum DSM 98,"ATCC 27078,, DSM 98, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-98","[{'media_title': '14: CLOSTRIDIUM FORMICACETICUM MEDIUM', 'media_link': '/medium/14?ccno=DSM 98', 'growth_observed': 'Yes', 'growth_conditions': '37\xa0°C'}]"
Clostridium formicaceticum DSM 99,"DSM 99, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-99","[{'media_title': '14: CLOSTRIDIUM FORMICACETICUM MEDIUM', 'media_link': '/medium/14?ccno=DSM 99', 'growth_observed': 'Yes', 'growth_conditions': '37\xa0°C'}]"
Ancylobacter aquaticus DSM 101,"ATCC 25396, BUCSAV 410, CCM 1786, CCUG 1820, CCUG 30551,, DSM 101, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-101, , IAM 12364,, JCM 20518, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=101, ,, JCM 6888, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=101, , LMG 4052, NBRC 102453, NCIB 9271, NCIMB 9271, NCMB 1801, VKM B-1287","[{'media_title': '7: ANCYLOBACTER - SPIROSOMA MEDIUM', 'media_link': '/medium/7?ccno=DSM 101', 'growth_observed': 'Yes', 'growth_conditions': '26\xa0°C'}, {'media_title': 'J346: R2A AGAR', 'media_link': '/medium/J346?ccno=DSM 101', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}, {'media_title': 'J349: ANCYLOBACTER-SPIROSOMA MEDIUM', 'media_link': '/medium/J349?ccno=DSM 101', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Spirosoma sp. DSM 102,"ATCC 23276, CCM 2041,, DSM 102, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-102","[{'media_title': '7: ANCYLOBACTER - SPIROSOMA MEDIUM', 'media_link': '/medium/7?ccno=DSM 102', 'growth_observed': 'Yes', 'growth_conditions': '26\xa0°C'}]"
Flectobacillus major DSM 103,"ATCC 29496, BKM B-859, CCM 2921, CCUG 14833,, DSM 103, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-103, , VKM B-859","[{'media_title': '7: ANCYLOBACTER - SPIROSOMA MEDIUM', 'media_link': '/medium/7?ccno=DSM 103', 'growth_observed': 'Yes', 'growth_conditions': '26\xa0°C'}]"
Clostridium formicaceticum DSM 97,"DSM 97, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-97","[{'media_title': '14: CLOSTRIDIUM FORMICACETICUM MEDIUM', 'media_link': '/medium/14?ccno=DSM 97', 'growth_observed': 'Yes', 'growth_conditions': '37\xa0°C'}]"
Rhodocyclus tenuis DSM 109,"ATCC 25093,, DSM 109, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-109, , Pfennig 2761","[{'media_title': '27: RHODOSPIRILLACEAE MEDIUM (modified)', 'media_link': '/medium/27?ccno=DSM 109', 'growth_observed': 'Yes', 'growth_conditions': '25\xa0°C'}]"
Clostridium formicaceticum DSM 100,"DSM 100, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-100","[{'media_title': '14: CLOSTRIDIUM FORMICACETICUM MEDIUM', 'media_link': '/medium/14?ccno=DSM 100', 'growth_observed': 'Yes', 'growth_conditions': '37\xa0°C'}]"
Rhodospirillum rubrum DSM 107,"DSM 107, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-107","[{'media_title': '27: RHODOSPIRILLACEAE MEDIUM (modified)', 'media_link': '/medium/27?ccno=DSM 107', 'growth_observed': 'Yes', 'growth_conditions': '25\xa0°C'}]"
Rhodocyclus tenuis DSM 111,"DSM 111, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-111, , Pfennig 3761","[{'media_title': '27: RHODOSPIRILLACEAE MEDIUM (modified)', 'media_link': '/medium/27?ccno=DSM 111', 'growth_observed': 'Yes', 'growth_conditions': '25\xa0°C'}]"
Rhodocyclus tenuis DSM 112,"DSM 112, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-112, , Pfennig 3661","[{'media_title': '27: RHODOSPIRILLACEAE MEDIUM (modified)', 'media_link': '/medium/27?ccno=DSM 112', 'growth_observed': 'Yes', 'growth_conditions': '25\xa0°C'}]"
Magnetospirillum fulvum DSM 113,"ATCC 15798,, DSM 113, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-113, , KCTC 15608, NCIB 11762, Pfennig 1360, SMG 113","[{'media_title': '27: RHODOSPIRILLACEAE MEDIUM (modified)', 'media_link': '/medium/27?ccno=DSM 113', 'growth_observed': 'Yes', 'growth_conditions': '28\xa0°C'}]"
Magnetospirillum fulvum DSM 114,"DSM 114, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-114, , Pfennig 2860","[{'media_title': '27: RHODOSPIRILLACEAE MEDIUM (modified)', 'media_link': '/medium/27?ccno=DSM 114', 'growth_observed': 'Yes', 'growth_conditions': '25\xa0°C'}]"
Rhodocyclus gracilis DSM 110,"DSM 110, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-110, , Pfennig 3760","[{'media_title': '27: RHODOSPIRILLACEAE MEDIUM (modified)', 'media_link': '/medium/27?ccno=DSM 110', 'growth_observed': 'Yes', 'growth_conditions': '25\xa0°C'}]"
Magnetospirillum fulvum DSM 115,"DSM 115, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-115, , Pfennig 10060","[{'media_title': '27: RHODOSPIRILLACEAE MEDIUM (modified)', 'media_link': '/medium/27?ccno=DSM 115', 'growth_observed': 'Yes', 'growth_conditions': '25\xa0°C'}]"
Magnetospirillum fulvum DSM 117,"DSM 117, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-117","[{'media_title': '27: RHODOSPIRILLACEAE MEDIUM (modified)', 'media_link': '/medium/27?ccno=DSM 117', 'growth_observed': 'Yes', 'growth_conditions': '25\xa0°C'}]"
Magnetospirillum molischianum DSM 120,"ATCC 14031,, DSM 120, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-120, , KCTC 15609, LMG 4354, NTHC 131","[{'media_title': '27: RHODOSPIRILLACEAE MEDIUM (modified)', 'media_link': '/medium/27?ccno=DSM 120', 'growth_observed': 'Yes', 'growth_conditions': '25\xa0°C'}]"
Phaeospirillum sp. DSM 121,"DSM 121, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-121, , Pfennig 2160","[{'media_title': '27: RHODOSPIRILLACEAE MEDIUM (modified)', 'media_link': '/medium/27?ccno=DSM 121', 'growth_observed': 'Yes', 'growth_conditions': '25\xa0°C'}]"
Pararhodospirillum photometricum DSM 118,"DSM 118, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-118, , Pfennig 6960","[{'media_title': '27: RHODOSPIRILLACEAE MEDIUM (modified)', 'media_link': '/medium/27?ccno=DSM 118', 'growth_observed': 'Yes', 'growth_conditions': '25\xa0°C'}]"
Phaeospirillum sp. DSM 119,"DSM 119, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-119, , Pfennig 3660","[{'media_title': '27: RHODOSPIRILLACEAE MEDIUM (modified)', 'media_link': '/medium/27?ccno=DSM 119', 'growth_observed': 'Yes', 'growth_conditions': '25\xa0°C'}]"
Pararhodospirillum photometricum DSM 122,"ATCC 49918,, DSM 122, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-122, , NTHC 132","[{'media_title': '27: RHODOSPIRILLACEAE MEDIUM (modified)', 'media_link': '/medium/27?ccno=DSM 122', 'growth_observed': 'Yes', 'growth_conditions': '28\xa0°C'}]"
Rhodopseudomonas pseudopalustris DSM 123,"ATH 2.1.6 (, NBRC 100419,, DSM 123, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-123","[{'media_title': '27: RHODOSPIRILLACEAE MEDIUM (modified)', 'media_link': '/medium/27?ccno=DSM 123', 'growth_observed': 'Yes', 'growth_conditions': '25\xa0°C'}]"
Magnetospirillum fulvum DSM 116,"DSM 116, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-116","[{'media_title': '27: RHODOSPIRILLACEAE MEDIUM (modified)', 'media_link': '/medium/27?ccno=DSM 116', 'growth_observed': 'Yes', 'growth_conditions': '25\xa0°C'}]"
Rhodopseudomonas palustris DSM 126,,"[{'media_title': '27: RHODOSPIRILLACEAE MEDIUM (modified)', 'media_link': '/medium/27?ccno=DSM 126', 'growth_observed': 'Yes', 'growth_conditions': '25\xa0°C'}]"
Rhodopseudomonas palustris DSM 127,"DSM 127, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-127, , Pfennig 7850","[{'media_title': '27: RHODOSPIRILLACEAE MEDIUM (modified)', 'media_link': '/medium/27?ccno=DSM 127', 'growth_observed': 'Yes', 'growth_conditions': '28\xa0°C'}]"
Rhodopseudomonas parapalustris DSM 130,"DSM 130, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-130","[{'media_title': '27: RHODOSPIRILLACEAE MEDIUM (modified)', 'media_link': '/medium/27?ccno=DSM 130', 'growth_observed': 'Yes', 'growth_conditions': '25\xa0°C'}]"
Blastochloris viridis DSM 133,"ATCC 19567,, DSM 133, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-133","[{'media_title': '27: RHODOSPIRILLACEAE MEDIUM (modified)', 'media_link': '/medium/27?ccno=DSM 133', 'growth_observed': 'Yes', 'growth_conditions': '25\xa0°C'}]"
Rhodopseudomonas palustris DSM 131,"DSM 131, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-131","[{'media_title': '27: RHODOSPIRILLACEAE MEDIUM (modified)', 'media_link': '/medium/27?ccno=DSM 131', 'growth_observed': 'Yes', 'growth_conditions': '28\xa0°C'}]"
Blastochloris viridis DSM 134,"DSM 134, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-134, , Pfennig 2450","[{'media_title': '27: RHODOSPIRILLACEAE MEDIUM (modified)', 'media_link': '/medium/27?ccno=DSM 134', 'growth_observed': 'Yes', 'growth_conditions': '28\xa0°C'}]"
Blastochloris sulfoviridis DSM 136,"CCUG 31148,, DSM 136, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-136, , LMG 4324, Pfennig 9350","[{'media_title': '27: RHODOSPIRILLACEAE MEDIUM (modified)', 'media_link': '/medium/27?ccno=DSM 136', 'growth_observed': 'Yes', 'growth_conditions': '25\xa0°C'}]"
Rhodoblastus acidophilus DSM 137,"ATCC 25092,, DSM 137, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-137, , Pfennig 7050","[{'media_title': '26: ACID RHODOSPIRILLACEAE MEDIUM', 'media_link': '/medium/26?ccno=DSM 137', 'growth_observed': 'Yes', 'growth_conditions': '25\xa0°C'}]"
Rhodoblastus acidophilus DSM 142,"DSM 142, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-142, , Pfennig 2751","[{'media_title': '26: ACID RHODOSPIRILLACEAE MEDIUM', 'media_link': '/medium/26?ccno=DSM 142', 'growth_observed': 'Yes', 'growth_conditions': '25\xa0°C'}]"
Rhodoblastus acidophilus DSM 145,"DSM 145, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-145, , Pfennig 10050","[{'media_title': '26: ACID RHODOSPIRILLACEAE MEDIUM', 'media_link': '/medium/26?ccno=DSM 145', 'growth_observed': 'Yes', 'growth_conditions': '25\xa0°C'}]"
Rubrivivax gelatinosus DSM 149,"DSM 149, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-149, , Pfennig 2150","[{'media_title': '27: RHODOSPIRILLACEAE MEDIUM (modified)', 'media_link': '/medium/27?ccno=DSM 149', 'growth_observed': 'Yes', 'growth_conditions': '25\xa0°C'}]"
Rubrivivax gelatinosus DSM 151,"CCUG 15842,, DSM 151, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-151","[{'media_title': '27: RHODOSPIRILLACEAE MEDIUM (modified)', 'media_link': '/medium/27?ccno=DSM 151', 'growth_observed': 'Yes', 'growth_conditions': '25\xa0°C'}]"
Rhodobacter capsulatus DSM 152,"DSM 152, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-152, , Pfennig 6950","[{'media_title': '27: RHODOSPIRILLACEAE MEDIUM (modified)', 'media_link': '/medium/27?ccno=DSM 152', 'growth_observed': 'Yes', 'growth_conditions': '25\xa0°C'}]"
Rhodobacter capsulatus DSM 155,"DSM 155, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-155","[{'media_title': '27: RHODOSPIRILLACEAE MEDIUM (modified)', 'media_link': '/medium/27?ccno=DSM 155', 'growth_observed': 'Yes', 'growth_conditions': '25\xa0°C'}]"
Rhodobacter capsulatus DSM 156,"DSM 156, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-156","[{'media_title': '27: RHODOSPIRILLACEAE MEDIUM (modified)', 'media_link': '/medium/27?ccno=DSM 156', 'growth_observed': 'Yes', 'growth_conditions': '25\xa0°C'}]"
Cereibacter sphaeroides DSM 158,"ATCC 11167, ATCC 14690, ATCC 17023, ATH 2.4.1, BCRC 16407, CCUG 31486, CECT 300, CGMCC 1.1737, CGMCC 1.3368, CIP 60.6,, DSM 158, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-158, , IAM 14237, IFO 12203,, JCM 6121, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=158, , KCTC 1434, LMG 2827, NBRC 12203, NCIB 8253, NCIMB 8253, NCIMB 8287","[{'media_title': '27: RHODOSPIRILLACEAE MEDIUM (modified)', 'media_link': '/medium/27?ccno=DSM 158', 'growth_observed': 'Yes', 'growth_conditions': '25\xa0°C'}, {'media_title': 'J26: R AGAR', 'media_link': '/medium/J26?ccno=DSM 158', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Rhodobacter capsulatus DSM 157,"DSM 157, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-157","[{'media_title': '27: RHODOSPIRILLACEAE MEDIUM (modified)', 'media_link': '/medium/27?ccno=DSM 157', 'growth_observed': 'Yes', 'growth_conditions': '25\xa0°C'}]"
Cereibacter sphaeroides DSM 159,"DSM 159, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-159, , Pfennig 1760-1","[{'media_title': '27: RHODOSPIRILLACEAE MEDIUM (modified)', 'media_link': '/medium/27?ccno=DSM 159', 'growth_observed': 'Yes', 'growth_conditions': '25\xa0°C'}]"
Cereibacter sphaeroides DSM 160,"DSM 160, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-160","[{'media_title': '27: RHODOSPIRILLACEAE MEDIUM (modified)', 'media_link': '/medium/27?ccno=DSM 160', 'growth_observed': 'Yes', 'growth_conditions': '25\xa0°C'}]"
